db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,4,5,3,1,0,1,1,0,0,0,1,0,4,0,0,2,2,2,2,1,4
alt_dust_v1.5_10yrs.db,5,5,5,4,1,0,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,5,4,5,4,0,0,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5
baseline_2snaps_v1.5_10yrs.db,4,5,4,4,1,0,2,1,3,0,0,1,5,3,0,0,1,3,0,3,1
baseline_samefilt_v1.5_10yrs.db,5,1,2,4,0,4,2,1,0,0,1,1,2,2,3,2,0,5,4,4,0
baseline_v1.5_10yrs.db,1,2,2,1,2,2,2,2,0,2,1,1,2,2,2,2,2,2,2,2,2
bulges_bs_v1.5_10yrs.db,4,5,4,3,0,0,4,4,4,1,0,5,5,4,5,5,4,5,5,5,5
bulges_bulge_wfd_v1.5_10yrs.db,4,3,5,3,0,0,4,4,4,2,0,5,5,5,5,5,4,5,5,5,5
bulges_cadence_bs_v1.5_10yrs.db,3,3,5,4,0,0,4,4,3,2,1,5,5,4,5,5,4,5,5,5,5
bulges_cadence_bulge_wfd_v1.5_10yrs.db,5,5,5,3,0,3,4,4,4,0,3,5,5,4,3,5,4,4,5,5,5
bulges_cadence_i_heavy_v1.5_10yrs.db,5,5,5,4,1,1,5,5,4,3,3,5,5,5,5,5,4,4,5,4,5
bulges_i_heavy_v1.5_10yrs.db,4,4,5,4,0,0,4,4,3,0,1,5,5,5,5,5,4,5,5,5,5
daily_ddf_v1.5_10yrs.db,3,5,5,3,0,0,1,3,2,0,0,2,4,4,0,0,1,3,0,3,1
dcr_nham1_ug_v1.5_10yrs.db,2,4,5,3,0,0,1,2,0,0,0,2,2,1,4,0,2,5,0,4,3
dcr_nham1_ugr_v1.5_10yrs.db,2,5,2,0,0,0,1,0,1,1,0,0,2,1,0,1,2,4,1,3,3
dcr_nham1_ugri_v1.5_10yrs.db,3,5,3,2,1,0,2,2,0,0,1,1,1,1,1,0,3,3,0,1,2
dcr_nham2_ug_v1.5_10yrs.db,3,4,2,1,0,0,3,2,1,1,1,2,1,3,2,1,1,5,1,4,1
dcr_nham2_ugr_v1.5_10yrs.db,3,4,3,1,0,0,1,1,2,1,0,2,1,0,0,1,1,5,0,5,1
dcr_nham2_ugri_v1.5_10yrs.db,1,5,3,3,0,0,0,1,4,0,0,2,5,2,4,0,1,4,0,1,2
descddf_v1.5_10yrs.db,3,5,4,4,3,0,1,1,1,0,0,1,2,4,0,0,0,3,0,4,1
filterdist_indx1_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx2_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx3_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx4_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx5_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx6_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx7_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx8_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
footprint_add_mag_cloudsv1.5_10yrs.db,5,5,5,5,0,0,5,5,5,2,1,5,5,5,5,5,5,5,5,5,5
footprint_big_sky_dustv1.5_10yrs.db,2,2,4,3,0,0,4,3,3,0,0,4,4,2,2,4,4,4,4,4,4
footprint_big_sky_nouiyv1.5_10yrs.db,2,2,3,2,0,0,4,4,3,2,0,4,4,2,1,4,4,4,4,4,4
footprint_big_skyv1.5_10yrs.db,2,2,2,3,0,0,4,4,3,1,1,4,4,4,2,4,4,4,4,4,4
footprint_big_wfdv1.5_10yrs.db,1,4,2,2,1,0,0,1,0,0,0,0,3,4,1,0,3,4,0,1,2
footprint_bluer_footprintv1.5_10yrs.db,4,3,4,0,0,0,1,0,0,0,0,3,3,3,3,2,3,5,1,4,2
footprint_gp_smoothv1.5_10yrs.db,2,3,3,2,2,0,0,1,1,1,0,1,2,2,0,0,2,5,1,4,3
footprint_newAv1.5_10yrs.db,3,3,4,3,0,0,4,4,4,1,3,4,4,5,4,4,4,4,4,4,4
footprint_newBv1.5_10yrs.db,5,5,5,5,2,0,4,5,5,3,0,4,4,4,3,5,5,5,4,4,4
footprint_no_gp_northv1.5_10yrs.db,3,4,5,2,1,0,1,1,0,0,0,2,5,4,0,1,0,4,0,3,2
footprint_standard_goalsv1.5_10yrs.db,3,2,3,3,1,0,0,0,1,1,0,3,3,1,0,1,0,3,0,2,2
footprint_stuck_rollingv1.5_10yrs.db,0,3,2,1,1,0,0,1,0,0,0,0,0,3,2,0,1,5,0,2,0
goodseeing_gi_v1.5_10yrs.db,2,3,2,2,0,0,3,2,0,5,0,4,3,4,0,4,2,4,1,2,4
goodseeing_gri_v1.5_10yrs.db,2,3,3,1,0,1,2,1,0,0,1,3,4,3,1,0,0,5,3,4,1
goodseeing_griz_v1.5_10yrs.db,2,4,4,1,0,0,1,0,3,1,1,2,4,4,2,2,0,3,1,2,2
goodseeing_gz_v1.5_10yrs.db,1,2,3,2,0,0,2,0,1,4,2,4,5,5,4,0,1,4,0,4,0
